level-0,level-1,level-2,level-3,level-4
1,0-10,0-20,0-40,any
2,0-10,0-20,0-40,any
3,0-10,0-20,0-40,any
4,0-10,0-20,0-40,any
5,0-10,0-20,0-40,any
6,0-10,0-20,0-40,any
7,0-10,0-20,0-40,any
8,0-10,0-20,0-40,any
9,0-10,0-20,0-40,any
10,10-20,0-20,0-40,any
11,10-20,0-20,0-40,any
12,10-20,0-20,0-40,any
13,10-20,0-20,0-40,any
14,10-20,0-20,0-40,any
15,10-20,0-20,0-40,any
16,10-20,0-20,0-40,any
17,10-20,0-20,0-40,any
18,10-20,0-20,0-40,any
19,10-20,0-20,0-40,any
20,20-30,20-40,0-40,any
21,20-30,20-40,0-40,any
22,20-30,20-40,0-40,any
23,20-30,20-40,0-40,any
24,20-30,20-40,0-40,any
25,20-30,20-40,0-40,any
26,20-30,20-40,0-40,any
27,20-30,20-40,0-40,any
28,20-30,20-40,0-40,any
29,20-30,20-40,0-40,any
30,30-40,20-40,0-40,any
31,30-40,20-40,0-40,any
32,30-40,20-40,0-40,any
33,30-40,20-40,0-40,any
34,30-40,20-40,0-40,any
35,30-40,20-40,0-40,any
36,30-40,20-40,0-40,any
37,30-40,20-40,0-40,any
38,30-40,20-40,0-40,any
39,30-40,20-40,0-40,any
40,40-50,40-60,40-80,any
41,40-50,40-60,40-80,any
42,40-50,40-60,40-80,any
43,40-50,40-60,40-80,any
44,40-50,40-60,40-80,any
45,40-50,40-60,40-80,any
46,40-50,40-60,40-80,any
47,40-50,40-60,40-80,any
48,40-50,40-60,40-80,any
49,40-50,40-60,40-80,any
50,50-60,40-60,40-80,any
51,50-60,40-60,40-80,any
52,50-60,40-60,40-80,any
53,50-60,40-60,40-80,any
54,50-60,40-60,40-80,any
55,50-60,40-60,40-80,any
56,50-60,40-60,40-80,any
57,50-60,40-60,40-80,any
58,50-60,40-60,40-80,any
59,50-60,40-60,40-80,any
60,60-70,60-80,40-80,any
61,60-70,60-80,40-80,any
62,60-70,60-80,40-80,any
63,60-70,60-80,40-80,any
64,60-70,60-80,40-80,any
65,60-70,60-80,40-80,any
66,60-70,60-80,40-80,any
67,60-70,60-80,40-80,any
68,60-70,60-80,40-80,any
69,60-70,60-80,40-80,any
70,70-80,60-80,40-80,any
71,70-80,60-80,40-80,any
72,70-80,60-80,40-80,any
73,70-80,60-80,40-80,any
74,70-80,60-80,40-80,any
75,70-80,60-80,40-80,any
76,70-80,60-80,40-80,any
77,70-80,60-80,40-80,any
78,70-80,60-80,40-80,any
79,70-80,60-80,40-80,any
80,80-90,80-100,80-120,any
81,80-90,80-100,80-120,any
82,80-90,80-100,80-120,any
83,80-90,80-100,80-120,any
84,80-90,80-100,80-120,any
85,80-90,80-100,80-120,any
86,80-90,80-100,80-120,any
87,80-90,80-100,80-120,any
88,80-90,80-100,80-120,any
89,80-90,80-100,80-120,any
90,90-100,80-100,80-120,any
91,90-100,80-100,80-120,any
92,90-100,80-100,80-120,any
93,90-100,80-100,80-120,any
94,90-100,80-100,80-120,any
95,90-100,80-100,80-120,any
96,90-100,80-100,80-120,any
97,90-100,80-100,80-120,any
98,90-100,80-100,80-120,any
99,90-100,80-100,80-120,any
