level-0,level-1,level-2,level-5
0,0-999,0-2999,any
155,153-1153,153-3153,any
213,210-1210,210-3210,any
323,319-1319,319-3319,any
419,414-1414,414-3414,any
500,494-1494,494-3494,any
625,618-1618,618-3618,any
653,645-1645,645-3645,any
810,801-1801,801-3801,any
880,870-1870,870-3870,any
974,963-1963,963-3963,any
1000,988-1988,988-3988,any
1092,1079-2079,1079-4079,any
1138,1124-2124,1124-4124,any
1258,1243-2243,1243-4243,any
1340,1324-2324,1324-4324,any
1380,1363-2363,1363-4363,any
1408,1390-2390,1390-4390,any
1411,1392-2392,1392-4392,any
1485,1465-2465,1465-4465,any
1500,1479-2479,1479-4479,any
1504,1482-2482,1482-4482,any
1539,1516-2516,1516-4516,any
1564,1540-2540,1540-4540,any
1573,1548-2548,1548-4548,any
1579,1553-2553,1553-4553,any
1590,1563-2563,1563-4563,any
1594,1566-2566,1566-4566,any
1602,1573-2573,1573-4573,any
1617,1587-2587,1587-4587,any
1628,1597-2597,1597-4597,any
1648,1616-2616,1616-4616,any
1651,1618-2618,1618-4618,any
1668,1634-2634,1634-4634,any
1669,1634-2634,1634-4634,any
1672,1636-2636,1636-4636,any
1719,1682-2682,1682-4682,any
1721,1683-2683,1683-4683,any
1726,1687-2687,1687-4687,any
1735,1695-2695,1695-4695,any
1740,1699-2699,1699-4699,any
1741,1699-2699,1699-4699,any
1755,1712-2712,1712-4712,any
1762,1718-2718,1718-4718,any
1816,1771-2771,1771-4771,any
1825,1779-2779,1779-4779,any
1844,1797-2797,1797-4797,any
1848,1800-2800,1800-4800,any
1876,1827-2827,1827-4827,any
1887,1837-2837,1837-4837,any
1902,1851-2851,1851-4851,any
1944,1892-2892,1892-4892,any
1974,1921-2921,1921-4921,any
1977,1923-2923,1923-4923,any
1980,1925-2925,1925-4925,any
2000,1944-2944,1944-4944,any
2001,1944-2944,1944-4944,any
2002,1944-2944,1944-4944,any
2042,1983-2983,1983-4983,any
2051,1991-2991,1991-4991,any
2057,1996-2996,1996-4996,any
2080,2018-3018,2018-5018,any
2129,2066-3066,2066-5066,any
2149,2085-3085,2085-5085,any
2163,2098-3098,2098-5098,any
2174,2108-3108,2108-5108,any
2179,2112-3112,2112-5112,any
2201,2133-3133,2133-5133,any
2205,2136-3136,2136-5136,any
2206,2136-3136,2136-5136,any
2231,2160-3160,2160-5160,any
2238,2166-3166,2166-5166,any
2246,2173-3173,2173-5173,any
2258,2184-3184,2184-5184,any
2267,2192-3192,2192-5192,any
2282,2206-3206,2206-5206,any
2339,2262-3262,2262-5262,any
2352,2274-3274,2274-5274,any
2377,2298-3298,2298-5298,any
2392,2312-3312,2312-5312,any
2415,2334-3334,2334-5334,any
2444,2362-3362,2362-5362,any
2457,2374-3374,2374-5374,any
2467,2383-3383,2383-5383,any
2472,2387-3387,2387-5387,any
2489,2403-3403,2403-5403,any
2500,2413-3413,2413-5413,any
2547,2459-3459,2459-5459,any
2559,2470-3470,2470-5470,any
2603,2513-3513,2513-5513,any
2754,2663-3663,2663-5663,any
2824,2732-3732,2732-5732,any
3000,2907-3907,2907-5907,any
3004,2910-3910,2910-5910,any
3500,3405-4405,3405-6405,any
3683,3587-4587,3587-6587,any
3770,3673-4673,3673-6673,any
3900,3802-4802,3802-6802,any
4000,3901-4901,3901-6901,any
4356,4256-5256,4256-7256,any
