level-0,level-1,level-2,level-3,level-4,level-5
0,0-99,0-499,0-999,0-1999,any
155,153-253,153-653,153-1153,153-2153,any
213,210-310,210-710,210-1210,210-2210,any
323,319-419,319-819,319-1319,319-2319,any
419,414-514,414-914,414-1414,414-2414,any
500,494-594,494-994,494-1494,494-2494,any
625,618-718,618-1118,618-1618,618-2618,any
653,645-745,645-1145,645-1645,645-2645,any
810,801-901,801-1301,801-1801,801-2801,any
880,870-970,870-1370,870-1870,870-2870,any
974,963-1063,963-1463,963-1963,963-2963,any
1000,988-1088,988-1488,988-1988,988-2988,any
1092,1079-1179,1079-1579,1079-2079,1079-3079,any
1138,1124-1224,1124-1624,1124-2124,1124-3124,any
1258,1243-1343,1243-1743,1243-2243,1243-3243,any
1340,1324-1424,1324-1824,1324-2324,1324-3324,any
1380,1363-1463,1363-1863,1363-2363,1363-3363,any
1408,1390-1490,1390-1890,1390-2390,1390-3390,any
1411,1392-1492,1392-1892,1392-2392,1392-3392,any
1485,1465-1565,1465-1965,1465-2465,1465-3465,any
1500,1479-1579,1479-1979,1479-2479,1479-3479,any
1504,1482-1582,1482-1982,1482-2482,1482-3482,any
1539,1516-1616,1516-2016,1516-2516,1516-3516,any
1564,1540-1640,1540-2040,1540-2540,1540-3540,any
1573,1548-1648,1548-2048,1548-2548,1548-3548,any
1579,1553-1653,1553-2053,1553-2553,1553-3553,any
1590,1563-1663,1563-2063,1563-2563,1563-3563,any
1594,1566-1666,1566-2066,1566-2566,1566-3566,any
1602,1573-1673,1573-2073,1573-2573,1573-3573,any
1617,1587-1687,1587-2087,1587-2587,1587-3587,any
1628,1597-1697,1597-2097,1597-2597,1597-3597,any
1648,1616-1716,1616-2116,1616-2616,1616-3616,any
1651,1618-1718,1618-2118,1618-2618,1618-3618,any
1668,1634-1734,1634-2134,1634-2634,1634-3634,any
1669,1634-1734,1634-2134,1634-2634,1634-3634,any
1672,1636-1736,1636-2136,1636-2636,1636-3636,any
1719,1682-1782,1682-2182,1682-2682,1682-3682,any
1721,1683-1783,1683-2183,1683-2683,1683-3683,any
1726,1687-1787,1687-2187,1687-2687,1687-3687,any
1735,1695-1795,1695-2195,1695-2695,1695-3695,any
1740,1699-1799,1699-2199,1699-2699,1699-3699,any
1741,1699-1799,1699-2199,1699-2699,1699-3699,any
1755,1712-1812,1712-2212,1712-2712,1712-3712,any
1762,1718-1818,1718-2218,1718-2718,1718-3718,any
1816,1771-1871,1771-2271,1771-2771,1771-3771,any
1825,1779-1879,1779-2279,1779-2779,1779-3779,any
1844,1797-1897,1797-2297,1797-2797,1797-3797,any
1848,1800-1900,1800-2300,1800-2800,1800-3800,any
1876,1827-1927,1827-2327,1827-2827,1827-3827,any
1887,1837-1937,1837-2337,1837-2837,1837-3837,any
1902,1851-1951,1851-2351,1851-2851,1851-3851,any
1944,1892-1992,1892-2392,1892-2892,1892-3892,any
1974,1921-2021,1921-2421,1921-2921,1921-3921,any
1977,1923-2023,1923-2423,1923-2923,1923-3923,any
1980,1925-2025,1925-2425,1925-2925,1925-3925,any
2000,1944-2044,1944-2444,1944-2944,1944-3944,any
2001,1944-2044,1944-2444,1944-2944,1944-3944,any
2002,1944-2044,1944-2444,1944-2944,1944-3944,any
2042,1983-2083,1983-2483,1983-2983,1983-3983,any
2051,1991-2091,1991-2491,1991-2991,1991-3991,any
2057,1996-2096,1996-2496,1996-2996,1996-3996,any
2080,2018-2118,2018-2518,2018-3018,2018-4018,any
2129,2066-2166,2066-2566,2066-3066,2066-4066,any
2149,2085-2185,2085-2585,2085-3085,2085-4085,any
2163,2098-2198,2098-2598,2098-3098,2098-4098,any
2174,2108-2208,2108-2608,2108-3108,2108-4108,any
2179,2112-2212,2112-2612,2112-3112,2112-4112,any
2201,2133-2233,2133-2633,2133-3133,2133-4133,any
2205,2136-2236,2136-2636,2136-3136,2136-4136,any
2206,2136-2236,2136-2636,2136-3136,2136-4136,any
2231,2160-2260,2160-2660,2160-3160,2160-4160,any
2238,2166-2266,2166-2666,2166-3166,2166-4166,any
2246,2173-2273,2173-2673,2173-3173,2173-4173,any
2258,2184-2284,2184-2684,2184-3184,2184-4184,any
2267,2192-2292,2192-2692,2192-3192,2192-4192,any
2282,2206-2306,2206-2706,2206-3206,2206-4206,any
2339,2262-2362,2262-2762,2262-3262,2262-4262,any
2352,2274-2374,2274-2774,2274-3274,2274-4274,any
2377,2298-2398,2298-2798,2298-3298,2298-4298,any
2392,2312-2412,2312-2812,2312-3312,2312-4312,any
2415,2334-2434,2334-2834,2334-3334,2334-4334,any
2444,2362-2462,2362-2862,2362-3362,2362-4362,any
2457,2374-2474,2374-2874,2374-3374,2374-4374,any
2467,2383-2483,2383-2883,2383-3383,2383-4383,any
2472,2387-2487,2387-2887,2387-3387,2387-4387,any
2489,2403-2503,2403-2903,2403-3403,2403-4403,any
2500,2413-2513,2413-2913,2413-3413,2413-4413,any
2547,2459-2559,2459-2959,2459-3459,2459-4459,any
2559,2470-2570,2470-2970,2470-3470,2470-4470,any
2603,2513-2613,2513-3013,2513-3513,2513-4513,any
2754,2663-2763,2663-3163,2663-3663,2663-4663,any
2824,2732-2832,2732-3232,2732-3732,2732-4732,any
3000,2907-3007,2907-3407,2907-3907,2907-4907,any
3004,2910-3010,2910-3410,2910-3910,2910-4910,any
3500,3405-3505,3405-3905,3405-4405,3405-5405,any
3683,3587-3687,3587-4087,3587-4587,3587-5587,any
3770,3673-3773,3673-4173,3673-4673,3673-5673,any
3900,3802-3902,3802-4302,3802-4802,3802-5802,any
4000,3901-4001,3901-4401,3901-4901,3901-5901,any
4356,4356-4456,4256-4756,4256-5256,4256-6256,any
